Date,boiler,solar_thermal_pump,laptop,washing_machine,dishwasher,tv,htpc,kettle,toaster,fridge,microwave,lcd_office,hifi_office,breadmaker,amp_livingroom,adsl_router,livingroom_s_lamp,soldering_iron,gigE_&_USBhub,hoover,kitchen_dt_lamp,bedroom_ds_lamp,lighting_circuit,livingroom_s_lamp2,iPad_charger,subwoofer_livingroom,livingroom_lamp_tv,DAB_radio_livingroom,kitchen_lamp2,kitchen_phone&stereo,utilityrm_lamp,samsung_charger,bedroom_d_lamp,coffee_machine,kitchen_radio,bedroom_chargers,hair_dryer,straighteners,iron,gas_oven,data_logger_pc,childs_table_lamp,childs_ds_lamp,baby_monitor_tx,battery_charger,office_lamp1,office_lamp2,office_lamp3,office_pc,office_ds_fan,LED_printer,Holiday,Total_power_mainMeter
17-03-13,0.467,0.128,0,2.715,0,0.273,0.208,0.453,0.597,0.811,0.123,0,0,0,0.061,0.125,0.035,0,0,0.891,0.028,0,0.865,0.019,0,0.041,0.038,0,0.099,0.005,0,0.006,0,0,0.001,0.038,0,0,0,0.015,0.282,0.033,0,0,0,0,0,0,0,0,0,1,1.789
18-03-13,0.611,0.106,0,0,0,0.096,0.129,0.425,0.31,0.755,0.086,0,0,0,0.02,0.124,0.002,0,0,0,0.022,0,1.581,0.035,0,0.014,0,0,0.204,0.012,0,0.002,0,0,0.006,0.085,0.131,0.012,0,0.017,0.283,0.007,0.001,0,0,0,0,0,0,0,0,0,7.815
19-03-13,0.555,0.13,0.01,0,0.921,0,0.021,0.381,0.438,0.778,0.106,0,0,0,0,0.123,0,0,0,0.356,0.026,0,1.261,0.012,0,0,0,0,0.182,0.009,0,0,0,0,0.012,0.079,0,0.004,0,0,0.279,0,0.002,0,0,0,0,0,0,0,0,0,8.611
20-03-13,0.536,0.053,0,0,0,0.246,0.256,0.392,0.209,0.81,0.068,0.214,0,0,0.056,0.124,0,0,0,0.22,0.012,0,1.104,0.017,0,0.071,0,0,0.183,0.005,0,0,0.008,0,0.008,0.067,0,0,0,0.039,0.277,0.026,0.001,0,0,0,0,0,0,0,0,0,8.207
21-03-13,0.506,0.094,0,1.117,0.999,0.246,0.155,0.44,0.285,0.555,0.087,0.217,0,0,0.055,0.107,0.032,0,0,0,0.029,0,0.621,0.023,0,0.037,0.023,0,0.259,0.005,0,0,0,0,0.003,0.059,0,0,0,0.044,0.237,0.019,0,0,0,0,0,0,0,0,0,0,11.417
22-03-13,0.729,0.124,0,0.546,0,0.107,0.246,0.413,0.318,0.781,0.13,0.173,0,0,0.015,0.128,0.018,0,0,0,0.104,0,0.911,0,0,0.017,0.014,0,0.392,0.028,0,0,0,0,0.003,0.077,0,0.006,0,0.021,0.282,0,0.003,0,0,0,0,0,0,0,0,0,9.259
23-03-13,0.743,0,0,0,0,0.337,0.269,0.204,0.321,0.639,0.025,0.01,0,0,0.034,0.122,0.075,0,0,0.514,0.011,0,0.786,0,0,0.075,0.059,0,0.353,0,0,0,0,0,0.01,0.076,0,0,0,0.01,0.273,0.017,0,0,0,0,0,0,0,0,0,0,7.732
24-03-13,0.864,0,0,0.687,0.426,0.173,0.125,0.264,0.397,0.682,0.103,0,0,0,0.013,0.123,0.082,0,0,0,0.021,0,1.284,0.031,0.016,0.069,0.064,0.001,0,0,0,0,0,0,0.008,0.07,0.111,0.007,0,0.003,0.274,0.035,0.001,0,0,0,0,0,0,0,0,1,9.544
25-03-13,0.857,0.009,0.046,0,0.577,0.084,0.246,0.36,0.144,0.694,0.114,0.197,0,0,0.021,0.124,0.115,0.004,0,0.405,0,0,1.445,0,0,0.012,0,0,0,0,0,0,0,0,0.003,0.076,0,0.004,0,0.021,0.276,0,0.002,0,0,0,0,0,0,0,0,0,9.129
26-03-13,0.695,0.13,0.014,0.576,0.737,0.387,0.344,0.53,0.447,0.708,0.111,0.115,0,0,0.044,0.122,0.029,0,0,0,0,0,0.932,0.023,0,0.058,0,0,0.251,0,0,0,0,0,0.004,0.074,0,0,0,0.096,0.275,0.038,0.001,0,0,0,0,0,0,0,0,0,10.625
27-03-13,0.682,0.173,0,0.564,0.21,0.186,0.342,0.278,0.377,0.686,0.062,0.333,0,0,0.025,0.117,0.015,0,0,0,0.021,0,0.482,0,0,0.074,0,0,0.168,0.048,0,0,0,0.074,0.002,0.071,0.127,0.007,0,0,0.263,0.055,0,0,0,0,0,0,0,0,0,0,8.282
